Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id,gdp_norm,social_norm,life_norm,free_norm,gen_norm,corruption_norm,Country_bias
Finland,1,7.8087,10.6393,0.9543,71.9008,0.9492,-0.0595,0.1954,2020,246,3.658,-0.077,5.51,1.01,-1.331,-0.132,-6.588
Finland,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019,246,-0.413,0.534,-0.911,0.262,-0.149,0.745,7.656
Finland,1,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018,246,-0.429,0.539,-0.921,0.442,0.124,0.745,6.799
Finland,6,7.406,1.2902,1.3183,0.8891,0.6417,0.2335,0.4137,2015,246,-0.435,0.274,-0.919,0.359,0.299,0.837,6.714
Finland,5,7.413,1.406,1.1346,0.8109,0.571,0.2549,0.41,2016,246,-0.384,0.097,-0.927,0.209,0.418,0.821,7.023
Finland,5,7.469,1.4436,1.5402,0.8092,0.618,0.2455,0.3826,2017,246,-0.368,0.489,-0.927,0.309,0.366,0.699,6.522
Denmark,2,7.6456,10.774,0.956,72.4025,0.9514,0.0662,0.1685,2020,208,3.717,-0.076,5.556,1.015,-0.632,-0.252,-7.901
Denmark,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019,208,-0.395,0.521,-0.91,0.254,0.402,0.821,6.445
Denmark,3,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018,208,-0.409,0.537,-0.921,0.447,0.58,0.812,5.812
Denmark,3,7.527,1.3255,1.3606,0.8746,0.6494,0.3414,0.4836,2015,208,-0.42,0.315,-0.921,0.375,0.899,1.148,5.2
Denmark,1,7.526,1.4418,1.1637,0.795,0.5794,0.3617,0.4445,2016,208,-0.369,0.125,-0.928,0.227,1.012,0.974,5.791
Denmark,2,7.522,1.4824,1.5511,0.7926,0.626,0.3553,0.4008,2017,208,-0.351,0.499,-0.928,0.326,0.976,0.78,5.352
Switzerland,3,7.5599,10.9799,0.9428,74.1024,0.9213,0.1059,0.3037,2020,756,3.807,-0.089,5.71,0.951,-0.411,0.349,-9.635
Switzerland,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019,756,-0.364,0.475,-0.905,0.212,0.463,0.523,6.807
Switzerland,5,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018,756,-0.378,0.497,-0.916,0.398,0.424,0.585,6.47
Switzerland,1,7.587,1.3965,1.3495,0.9414,0.6656,0.2968,0.4198,2015,756,-0.389,0.305,-0.915,0.41,0.651,0.864,6.044
Switzerland,2,7.509,1.5273,1.1452,0.863,0.5856,0.2808,0.412,2016,756,-0.331,0.107,-0.922,0.24,0.562,0.83,6.699
Switzerland,4,7.494,1.565,1.5169,0.8581,0.6201,0.2905,0.367,2017,756,-0.315,0.466,-0.922,0.313,0.616,0.63,6.181
Iceland,4,7.5045,10.7726,0.9747,73.0,0.9489,0.2469,0.7117,2020,352,3.716,-0.058,5.61,1.01,0.373,2.161,-13.849
Iceland,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,352,-0.396,0.57,-0.907,0.252,0.969,-0.476,7.474
Iceland,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018,352,-0.412,0.589,-0.917,0.434,0.964,-0.387,7.043
Iceland,2,7.561,1.3023,1.4022,0.9478,0.6288,0.4363,0.1414,2015,352,-0.43,0.356,-0.914,0.332,1.427,-0.372,6.896
Iceland,3,7.501,1.4267,1.1833,0.8673,0.5662,0.4768,0.1498,2016,352,-0.375,0.144,-0.921,0.199,1.652,-0.335,6.894
Iceland,3,7.504,1.4806,1.6106,0.8336,0.6272,0.4755,0.1535,2017,352,-0.352,0.557,-0.925,0.328,1.645,-0.318,5.946
Norway,5,7.488,11.0878,0.9525,73.2008,0.9558,0.1345,0.2632,2020,578,3.854,-0.079,5.628,1.024,-0.252,0.169,-9.752
Norway,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019,578,-0.349,0.529,-0.907,0.277,0.507,0.514,6.602
Norway,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018,578,-0.363,0.529,-0.922,0.453,0.591,0.51,6.264
Norway,4,7.522,1.459,1.331,0.8852,0.6697,0.347,0.365,2015,578,-0.361,0.287,-0.92,0.418,0.93,0.621,5.897
Norway,4,7.498,1.5774,1.1269,0.7958,0.5961,0.379,0.3578,2016,578,-0.309,0.089,-0.928,0.263,1.108,0.589,6.145
Norway,1,7.537,1.6165,1.5335,0.7967,0.6354,0.362,0.316,2017,578,-0.292,0.482,-0.928,0.346,1.014,0.403,5.829
Netherlands,6,7.4489,10.8127,0.9391,72.3009,0.9085,0.2076,0.3647,2020,528,3.734,-0.092,5.546,0.924,0.155,0.62,-10.696
Netherlands,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019,528,-0.389,0.471,-0.91,0.18,0.791,0.323,6.711
Netherlands,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018,528,-0.404,0.438,-0.921,0.351,0.852,0.31,6.398
Netherlands,7,7.378,1.3294,1.2802,0.8928,0.6158,0.4761,0.3181,2015,528,-0.418,0.238,-0.919,0.304,1.648,0.413,5.268
Netherlands,7,7.339,1.4647,1.0291,0.8123,0.5521,0.4742,0.2993,2016,528,-0.359,-0.005,-0.926,0.169,1.638,0.329,5.929
Netherlands,6,7.377,1.5039,1.4289,0.8107,0.5854,0.4705,0.2827,2017,528,-0.342,0.381,-0.927,0.24,1.617,0.256,5.335
Sweden,7,7.3535,10.7588,0.9263,72.6008,0.9391,0.1116,0.2509,2020,752,3.71,-0.105,5.574,0.989,-0.379,0.114,-9.152
Sweden,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019,752,-0.393,0.437,-0.909,0.216,0.485,0.657,6.521
Sweden,9,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018,752,-0.407,0.451,-0.917,0.396,0.585,0.701,5.966
Sweden,8,7.364,1.3317,1.2891,0.9109,0.6598,0.3626,0.4384,2015,752,-0.417,0.246,-0.918,0.398,1.017,0.947,5.242
Sweden,10,7.291,1.4518,1.0876,0.8312,0.5822,0.3825,0.4087,2016,752,-0.364,0.051,-0.925,0.233,1.128,0.815,5.728
Sweden,9,7.284,1.4944,1.4782,0.8309,0.6129,0.3854,0.3844,2017,752,-0.346,0.429,-0.925,0.298,1.144,0.707,5.106
New Zealand,8,7.2996,10.5009,0.9491,73.2026,0.9362,0.1916,0.2211,2020,554,3.597,-0.082,5.628,0.983,0.066,-0.018,-9.657
New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019,554,-0.43,0.505,-0.907,0.239,0.836,0.688,5.755
New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018,554,-0.445,0.548,-0.921,0.417,1.03,0.728,5.062
New Zealand,9,7.286,1.2502,1.3197,0.9084,0.6394,0.475,0.4292,2015,554,-0.453,0.276,-0.918,0.354,1.642,0.906,4.274
New Zealand,8,7.334,1.3607,1.1728,0.831,0.5815,0.494,0.419,2016,554,-0.404,0.134,-0.925,0.232,1.748,0.861,4.591
New Zealand,8,7.314,1.4057,1.5482,0.8168,0.6141,0.5,0.3828,2017,554,-0.385,0.497,-0.926,0.301,1.781,0.7,4.034
Austria,9,7.2942,10.7428,0.928,73.0025,0.9,0.0854,0.5,2020,40,3.703,-0.103,5.61,0.906,-0.525,1.221,-10.726
Austria,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,40,-0.398,0.426,-0.908,0.127,0.357,0.004,7.899
Austria,12,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018,40,-0.413,0.454,-0.919,0.307,0.346,-0.005,7.522
Austria,13,7.2,1.3372,1.297,0.8904,0.6243,0.3309,0.1868,2015,40,-0.415,0.254,-0.919,0.322,0.841,-0.17,7.345
Austria,12,7.119,1.4504,1.0838,0.8056,0.5436,0.3286,0.2135,2016,40,-0.365,0.048,-0.927,0.151,0.828,-0.052,7.647
Austria,13,7.006,1.4871,1.4599,0.8153,0.5678,0.3165,0.2211,2017,40,-0.349,0.411,-0.926,0.203,0.761,-0.018,6.869
Luxembourg,10,7.2375,11.4507,0.9069,72.6,0.9056,-0.0046,0.3671,2020,442,4.013,-0.123,5.574,0.918,-1.026,0.63,-9.406
Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019,442,-0.296,0.43,-0.908,0.114,0.079,0.403,7.387
Luxembourg,17,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018,442,-0.31,0.469,-0.919,0.339,0.09,0.426,6.752
Luxembourg,17,6.946,1.5639,1.2196,0.9189,0.6158,0.2803,0.378,2015,442,-0.315,0.179,-0.917,0.304,0.559,0.679,6.131
Luxembourg,20,6.871,1.6975,1.04,0.8454,0.5487,0.2757,0.3533,2016,442,-0.257,0.005,-0.923,0.162,0.534,0.569,6.721
Luxembourg,18,6.863,1.7419,1.4576,0.8451,0.5966,0.2832,0.3188,2017,442,-0.237,0.409,-0.923,0.264,0.575,0.416,6.023
Canada,11,7.2321,10.6924,0.9272,73.6016,0.9339,0.1248,0.3908,2020,124,3.681,-0.104,5.664,0.978,-0.306,0.736,-10.516
Canada,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019,124,-0.402,0.455,-0.906,0.237,0.585,0.368,6.716
Canada,7,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018,124,-0.418,0.481,-0.919,0.383,0.786,0.292,6.32
Canada,5,7.427,1.3263,1.3226,0.9056,0.633,0.4581,0.3296,2015,124,-0.419,0.279,-0.918,0.341,1.548,0.464,5.269
Canada,6,7.404,1.4402,1.0961,0.8276,0.5737,0.4483,0.3133,2016,124,-0.369,0.06,-0.925,0.215,1.494,0.391,5.961
Canada,7,7.316,1.4792,1.4813,0.8346,0.6111,0.4355,0.2874,2017,124,-0.352,0.432,-0.924,0.294,1.423,0.276,5.401
Australia,12,7.2228,10.7206,0.9449,73.6045,0.9154,0.1905,0.4152,2020,36,3.694,-0.087,5.664,0.939,0.06,0.844,-11.301
Australia,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019,36,-0.399,0.496,-0.906,0.18,0.847,0.288,6.385
Australia,10,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018,36,-0.413,0.521,-0.918,0.37,1.008,0.341,5.757
Australia,10,7.284,1.3336,1.3092,0.9316,0.6512,0.4356,0.3564,2015,36,-0.416,0.266,-0.916,0.379,1.423,0.583,5.086
Australia,9,7.313,1.4444,1.1048,0.8512,0.5684,0.4741,0.3233,2016,36,-0.368,0.068,-0.923,0.204,1.637,0.436,5.556
Australia,10,7.284,1.4844,1.51,0.8439,0.6016,0.4777,0.3012,2017,36,-0.35,0.46,-0.924,0.274,1.657,0.338,4.859
United Kingdom,13,7.1645,10.6001,0.9367,72.3016,0.8347,0.2637,0.4359,2020,826,3.641,-0.094,5.547,0.768,0.467,0.936,-11.611
United Kingdom,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019,826,-0.416,0.487,-0.91,-0.047,0.936,0.235,6.579
United Kingdom,11,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018,826,-0.455,0.385,-0.92,-0.017,0.457,-0.636,9.167
